,Time_norm,Time,Light,Light_norm,Growth_norm,Growth,DCW,DCW_norm,Growth rate,R0,R1,R2,R3,R4,is_train
249,-0.26166999999999996,24.9,574,0.95517392,0.170974848,1.7952358990000001,0.7001420009999999,-0.732350292,0.060863372,3.1633363692126215,3.4562979625093995,2.84929798953808,3.1557345595364334,2.273136993759968,False
250,-0.2576,25.0,574,0.95517392,0.1724656,1.8108887980000001,0.706246631,-0.7254844140000001,0.061229430999999994,3.168859609333352,3.4597287105968,2.8466412323764576,3.1525153891539803,2.264883385972442,False
251,-0.25353000000000003,25.1,574,0.95517392,0.17396529600000002,1.8266356080000001,0.712387887,-0.7185773440000001,0.061595867,3.174225587772934,3.4630352553401784,2.8437059014608694,3.149031617927525,2.2563678447595237,True
252,-0.24946,25.2,574,0.95517392,0.175473945,1.8424764219999998,0.718565804,-0.71162904,0.06196265,3.179432460310357,3.4662166628750306,2.8404900127202124,3.145280982856394,2.2475887852986682,True
253,-0.24539,25.3,574,0.95517392,0.176991555,1.858411325,0.7247804170000001,-0.704639465,0.062329748,3.1844785109915508,3.4692720480538193,2.8369917194405696,3.1412613365059587,2.238544739925079,True
254,-0.24131999999999998,25.4,574,0.95517392,0.178518133,1.874440395,0.7310317540000001,-0.697608586,0.06269713,3.1893621583644114,3.472200576349394,2.833209316857471,3.1369706514426756,2.2292343610707124,True
255,-0.23725,25.5,574,0.95517392,0.18005368600000002,1.8905637,0.737319843,-0.6905363729999999,0.063064765,3.194081961472052,3.475001465599418,2.8291412465434167,3.1324070244615836,2.2196564239922028,True
256,-0.23318000000000003,25.6,574,0.95517392,0.18159821899999998,1.9067813000000002,0.7436447070000001,-0.6834227979999999,0.063432621,3.198636625590966,3.4776739875944402,2.824786100534176,3.1275686806023315,2.2098098292846453,True
257,-0.22910999999999998,25.7,574,0.95517392,0.183151738,1.9230932490000001,0.750006367,-0.6762678390000001,0.063800664,3.203025004703931,3.4802174677809847,2.8201426285019746,3.1224539806115486,2.1996936123218003,True
258,-0.22504000000000002,25.8,574,0.95517392,0.184714247,1.939499589,0.75640484,-0.669071477,0.06416886200000001,3.2072461085076434,3.482631287684658,2.815209740828812,3.1170614238544587,2.1893069431519643,True
259,-0.22096999999999997,25.9,574,0.95517392,0.186285748,1.956000357,0.762840139,-0.661833695,0.064537181,3.2112991077074255,3.4849148863193142,2.8099865124383863,3.1113896521829583,2.1786491287803385,True
260,-0.2169,26.0,574,0.95517392,0.18786624600000001,1.972595579,0.769312276,-0.654554483,0.064905588,3.2151833358787343,3.4870677597162136,2.8044721909648223,3.105437458579492,2.1677196243127406,True
261,-0.21283000000000002,26.1,574,0.95517392,0.18945574,1.989285274,0.775821257,-0.6472338320000001,0.065274048,3.218898297384996,3.4890894639280225,2.7986661970409275,3.0992037872281584,2.156518027903156,True
262,-0.20876,26.2,574,0.95517392,0.19105423300000002,2.00606945,0.7823670859999999,-0.6398717389999999,0.065642527,3.2224436690124607,3.49097961455635,2.79256813244072,3.092687742242428,2.1450440918904334,True
263,-0.20469,26.3,574,0.95517392,0.192661725,2.022948108,0.788949762,-0.632468202,0.06601099,3.2258193066091883,3.4927378890912637,2.786177780430827,3.085888587994239,2.1332977186927273,False
264,-0.20062,26.4,574,0.95517392,0.194278213,2.03992124,0.795569284,-0.625023227,0.06637940099999999,3.229025245719714,3.494364026109773,2.7794951158846963,3.0788057599967456,2.1212789753055423,True
265,-0.19655,26.5,574,0.95517392,0.19590369800000001,2.056988827,0.802225642,-0.61753682,0.066747725,3.232061708936037,3.4958578280651023,2.7725203025179326,3.0714388620887974,2.1089880840244937,True
266,-0.19247999999999998,26.6,574,0.95517392,0.197538175,2.074150842,0.8089188279999999,-0.610008994,0.067115925,3.234929106263305,3.4972191605392613,2.7652537030798445,3.0637876774579165,2.0964254369769924,True
267,-0.18841,26.7,574,0.95517392,0.19918164300000002,2.09140725,0.8156488270000001,-0.602439764,0.067483965,3.2376280403786613,3.498447954051618,2.7576958785914965,3.0558521681556994,2.0835915911629534,True
268,-0.18434,26.8,574,0.95517392,0.20083409600000002,2.1087580040000002,0.8224156220000001,-0.59482915,0.067851808,3.240159308300143,3.499544204167833,2.749847594864243,3.0476324823156955,2.0704872764438575,False
269,-0.18027,26.9,574,0.95517392,0.202495528,2.126203049,0.829219189,-0.587177178,0.068219417,3.2425239037699756,3.500507972103432,2.7417098272183438,3.0391289595740827,2.0571134003469083,True
270,-0.1762,27.0,574,0.95517392,0.204165935,2.14374232,0.836059505,-0.579483875,0.068586754,3.2447230210855986,3.501339385954614,2.7332837585785406,3.0303421295995134,2.0434710421527145,True
